max_labels,time_s,communities,iterations,final_changed
4,6.8636,3470,200,1852534
8,6.93691,5150,200,1837731
16,6.57167,5809,200,193990
32,6.73431,6505,200,128977
64,7.25867,6831,200,129922
128,8.75857,6860,200,130059
256,13.0483,6860,200,129875
512,24.5861,6861,200,129875
1024,51.0179,6861,200,129875
