max_labels,time_s,communities,iterations,final_changed
4,0.608901,143,1000,7967
8,0.449693,229,1000,8518
16,1.29618,343,1000,9498
32,3.45545,407,1000,9852
64,3.73906,430,1000,10124
128,3.57999,420,1000,9833
256,3.64047,432,1000,10208
512,4.56022,423,1000,10049
1024,4.86424,423,1000,10049
